"lower_bound_ip_address","upper_bound_ip_address","country"
16777216,16777471,"Australia"
16777472,16777727,"China"
16777728,16778239,"China"
16778240,16779263,"Australia"
16779264,16781311,"China"
16781312,16785407,"Japan"
16785408,16793599,"China"
16793600,16809983,"Japan"
16809984,16842751,"Thailand"
16842752,16843007,"China"
16843008,16843263,"Australia"
16843264,16843775,"China"
16843776,16844799,"China"
16844800,16846847,"China"
16846848,16850943,"China"
16850944,16859135,"China"
16859136,16875519,"Japan"
16875520,16908287,"Thailand"
16908288,16908799,"China"
16908800,16909055,"China"
16909056,16909311,"Australia"
16909312,16909567,"China"
16909568,16909823,"China"
16909824,16910335,"China"
16910336,16910591,"China"
16910592,16910847,"China"
16910848,16911359,"China"
16911360,16912383,"China"
16912384,16916479,"China"
16916480,16924671,"China"
16924672,16941055,"China"
16941056,16973823,"Thailand"
16973824,17039359,"China"
17039360,17039615,"Australia"
17039616,17039871,"China"
17039872,17040383,"China"
17040384,17040639,"China"
17040640,17040895,"China"
17040896,17041407,"China"
17041408,17043455,"China"
17043456,17047551,"China"
17047552,17055743,"China"
17055744,17072127,"China"
17072128,17104895,"Thailand"
17104896,17170431,"Japan"
17170432,17301503,"India"
17301504,17367039,"China"
17367040,17432575,"Malaysia"
17432576,17434623,"China"
17434624,17435135,"China"
17435136,17435391,"Australia"
17435392,17435647,"China"
17435648,17436671,"China"
17436672,17440767,"China"
17440768,17448959,"China"
17448960,17465343,"China"
17465344,17498111,"Thailand"
17498112,17563647,"Korea Republic of"
17563648,17825791,"China"
17825792,18087935,"Korea Republic of"
18087936,18153471,"Thailand"
18153472,18219007,"Japan"
18219008,18350079,"India"
18350080,18874367,"China"
18874368,18939903,"Hong Kong"
18939904,19005439,"Japan"
19005440,19136511,"Taiwan; Republic of China (ROC)"
19136512,19202047,"Hong Kong"
19202048,19267583,"Philippines"
19267584,19398655,"India"
19398656,19660799,"Australia"
19660800,19726335,"Australia"
19726336,19791871,"China"
19791872,19922943,"Thailand"
19922944,20054015,"China"
20054016,20119551,"China"
20119552,20185087,"China"
20185088,20447231,"Viet Nam"
20447232,20971519,"China"
20971520,21102591,"Hong Kong"
21102592,21233663,"Japan"
21233664,21495807,"China"
21495808,22020095,"Japan"
22020096,22544383,"China"
22544384,22806527,"China"
22806528,22937599,"China"
22937600,23068671,"China"
23068672,24117247,"Korea Republic of"
24117248,24379391,"Japan"
24379392,24641535,"China"
24641536,25165823,"Australia"
25165824,27262975,"Australia"
27262976,28311551,"Taiwan; Republic of China (ROC)"
28311552,28442623,"Korea Republic of"
28442624,28508159,"Australia"
28508160,28540927,"Australia"
28540928,28573695,"Thailand"
28573696,28835839,"China"
28835840,28966911,"China"
28966912,29032447,"India"
29032448,29097983,"India"
29097984,29360127,"China"
29360128,29884415,"China"
29884416,29949951,"Taiwan; Republic of China (ROC)"
29949952,30015487,"Korea Republic of"
30015488,30146559,"China"
30146560,30408703,"China"
30408704,31457279,"Korea Republic of"
31457280,33554431,"Korea Republic of"
33554432,34603007,"France"
34603008,35127295,"European Union"
35127296,35651583,"United Kingdom"
35651584,36700159,"Italy"
36700160,36962303,"United Arab Emirates"
36962304,37224447,"Israel"
37224448,37289983,"Ukraine"
37289984,37355519,"Ukraine"
37355520,37486591,"Ukraine"
37486592,37748735,"Russian Federation"
37748736,38273023,"Sweden"
38273024,38797311,"Kazakhstan"
38797312,39059455,"Portugal"
39059456,39321599,"Greece"
39321600,39583743,"Saudi Arabia"
39583744,39845887,"Russian Federation"
39845888,40370175,"United Kingdom"
40370176,40894463,"Denmark"
40894464,41418751,"Italy"
41418752,41943039,"United Kingdom"
41943040,42205183,"Denmark"
42205184,42467327,"Kazakhstan"
42467328,42991615,"Spain"
42991616,43253759,"Iran (ISLAMIC Republic Of)"
43253760,43515903,"Norway"
43515904,43778047,"Spain"
43778048,44040191,"Italy"
44040192,45088767,"Germany"
45088768,46137343,"Iran (ISLAMIC Republic Of)"
46137344,46661631,"Italy"
46661632,47185919,"Germany"
47185920,47710207,"Germany"
47710208,48234495,"United Kingdom"
48234496,49283071,"Italy"
49283072,49807359,"Germany"
49807360,50331647,"Sweden"
50331648,67108863,"United States"
67108864,83886079,"United States"
83886080,83951615,"Syrian Arab Republic"
83951616,83959807,"Ukraine"
83959808,83961855,"Spain"
83961856,83963903,"Cyprus"
83963904,83965951,"Russian Federation"
83965952,83967999,"Czech Republic"
83968000,83976191,"Germany"
83976192,83978239,"Switzerland"
83978240,83980287,"Iraq"
83980288,83982335,"Switzerland"
83982336,83984383,"Germany"
83984384,84017151,"Germany"
84017152,84021247,"Italy"
84021248,84023295,"United Kingdom"
84023296,84025343,"Spain"
84025344,84033535,"Russian Federation"
84033536,84037631,"Netherlands"
84037632,84039679,"Turkey"
84039680,84041727,"Spain"
84041728,84049919,"United Kingdom"
84049920,84082687,"Romania"
84082688,84148223,"Russian Federation"
84148224,84410367,"Germany"
84410368,84426751,"Russian Federation"
84426752,84434943,"Russian Federation"
84434944,84443135,"Italy"
84443136,84451327,"Lebanon"
84451328,84455423,"Russian Federation"
84455424,84457471,"Russian Federation"
84457472,84459519,"Spain"
84459520,84467711,"Russian Federation"
84467712,84471807,"Russian Federation"
84471808,84473855,"Iraq"
84473856,84475903,"Hungary"
84475904,84541439,"Germany"
84541440,84543487,"Germany"
84543488,84545535,"Germany"
84545536,84549631,"United Kingdom"
84549632,84551679,"Georgia"
84551680,84553727,"Germany"
84553728,84557823,"Germany"
84557824,84574207,"Netherlands"
84574208,84576255,"France"
84576256,84578303,"United Kingdom"
84578304,84582399,"United Kingdom"
84582400,84590591,"Germany"
84590592,84592639,"Netherlands"
84592640,84594687,"Spain"
84594688,84598783,"Germany"
84598784,84600831,"Iraq"
84600832,84602879,"United Kingdom"
84602880,84606975,"Azerbaijan"
84606976,84609023,"Austria"
84609024,84611071,"United Kingdom"
84611072,84615167,"United Kingdom"
84615168,84617215,"Italy"
84617216,84619263,"Palestinian Territory Occupied"
84619264,84621311,"Germany"
84621312,84623359,"Greece"
84623360,84627455,"Russian Federation"
84627456,84629503,"United Kingdom"
84629504,84631551,"United Kingdom"
84631552,84639743,"Italy"
84639744,84672511,"Turkey"
84672512,84934655,"Romania"
84934656,85196799,"Russian Federation"
85196800,85262335,"Lithuania"
85262336,85327871,"Oman"
85327872,85360639,"Iran (ISLAMIC Republic Of)"
85360640,85362687,"Israel"
85362688,85364735,"United Kingdom"
85364736,85366783,"Germany"
85366784,85368831,"Czech Republic"
85368832,85377023,"Serbia"
85377024,85385215,"Iran (ISLAMIC Republic Of)"
85385216,85387263,"United Kingdom"
85387264,85389311,"Sweden"
85389312,85391359,"Germany"
